,All,Coal,Petroleum Liquids,Petroleum Coke,Natural Gas,Other Gasses,Nuclear,Hydroelectric,Other Renewables,Hydro-electric storage,Other
Jan-01,100.0,53.320521033525516,5.203117058103479,0.24421566769826736,12.748839825199326,0.21594439582186695,20.66419443416854,5.669893802275537,1.8120682239926855,-0.17714658654467913,0.2983521457594596
Feb-01,100.0,52.9211140171061,3.402134728210928,0.2530571852689616,13.418746023891991,0.23891991234890791,21.65547465893829,6.175514243302467,1.8767229801371317,-0.2498762988619495,0.30819254965717113
Mar-01,100.0,51.63464768030009,3.651727429025596,0.2500773177877469,14.753231550978194,0.2557306614079486,20.66496622958561,6.8096186653453366,1.9271250752393527,-0.2570608599068196,0.30960370061222386
Apr-01,100.0,50.58670377842268,3.681327967951553,0.22547549437390096,16.485603012093687,0.25100780713394394,20.139241007051954,6.477655630234573,2.095447696517896,-0.2862495909435808,0.34414680720226987
May-01,100.0,50.44826484565312,3.2084048826591056,0.24925788373733743,16.95020166926241,0.26123823595969276,20.470428497264486,6.381534283774609,1.9095350292187478,-0.20732665095909375,0.3281285358678434
Jun-01,100.0,49.624344663008785,3.3558746879710952,0.2517592632150726,17.578289501791307,0.22368429083230085,20.758085286883496,6.3254133429357875,1.8199906009875069,-0.23619596330723175,0.29844916293859514
Jul-01,100.0,50.070746670991625,2.8102926619203945,0.27739406175373443,20.421460009954867,0.23489013293663,19.340965398446368,5.055450849239683,1.7460166548289497,-0.24355869736643418,0.28578299507289984
Aug-01,100.0,49.419619844926096,3.5718815867952385,0.26826220606531676,21.161408025735902,0.22885950779012934,18.456925563984854,5.104538597102012,1.6983642482585894,-0.19296526895040386,0.28283580679723536
Sep-01,100.0,50.22594802055198,2.095598656366782,0.2968113146688648,19.607466221829803,0.24989492683975775,20.649075193285743,4.9705306438948424,1.8799135956524147,-0.3023500548986899,0.3271114818084964
Oct-01,100.0,50.53064797410547,1.8908575189832189,0.3260567155468999,19.127755874788793,0.25005598268269014,20.513751382602617,5.169067701724266,2.0526983653056656,-0.2086627263905759,0.34777121065095984
Nov-01,100.0,51.66706102518875,1.8248044340238194,0.30150501552338543,15.950368187456531,0.25059691539934176,22.350089985444583,5.525679909942854,2.048154760624377,-0.29074978310281285,0.3728480572465171
Dec-01,100.0,51.523424201953546,1.795113520307958,0.34534003718542955,15.56190588420143,0.25204912666614293,22.072629428863223,6.332652473354806,1.9764579568963259,-0.20393065702987928,0.3440306910728782
Jan-02,100.0,51.3713465920279,1.6984381495338203,0.3928849381604733,15.131852435292755,0.2884906904710556,22.16846231023845,6.812193498176226,2.062567785935532,-0.23441822085947098,0.3088069362788764
Feb-02,100.0,50.75791445785698,1.5569890641743487,0.4524068041983352,15.721757396407712,0.2696699381888115,21.87803822216545,7.164704463037477,2.0580074230198773,-0.2079297154982152,0.3480871175831896
Mar-02,100.0,50.069906031750236,2.2928517364129446,0.42307196520233087,16.927505957712636,0.29879457542414617,20.83662481118761,6.94399915385607,2.1001556772621957,-0.22607908140499555,0.33316917259683554
Apr-02,100.0,49.09642295272005,2.2546300129723162,0.4481659352488201,16.955783721122796,0.30705749220280976,20.161256934669204,8.365419116226436,2.25739008031796,-0.20182992465016145,0.35604868758797714
May-02,100.0,49.20971804664012,2.165921833103112,0.47517672869098887,16.34029414154546,0.2957666368733241,20.48655236857073,8.665962460388398,2.1971235882018365,-0.17518485414804583,0.3383440318517917
Jun-02,100.0,48.2864792110796,1.8852100884691063,0.40085272840834785,19.245329493905103,0.29587447180981924,19.46261689094284,8.27304903188348,2.0720010087296163,-0.25306211018025176,0.33194242030596177
Jul-02,100.0,48.014373253796435,2.229636579983331,0.3685046469327099,21.994171021801005,0.28070304186695044,18.45694576219656,6.675805022775999,1.8493376875940264,-0.2615701547929193,0.392093137845899
Aug-02,100.0,48.04103730518492,2.1874816464042968,0.4119214279230937,22.552097515657284,0.29819587491257016,18.89499340605362,5.628613989844789,1.880476045554292,-0.2496089015606563,0.3547916900257885
Sep-02,100.0,49.917441190054305,2.0134086374324967,0.4241138134321826,20.575104368221346,0.3178589648000628,19.464258223431006,5.15788806413929,1.9868449252744664,-0.23454550394078708,0.377325456790198
Oct-02,100.0,51.81382079665472,2.250381848439551,0.39275839496643966,17.651656522036482,0.29570864231304084,19.70077411832905,5.5920849087634625,2.136071569307527,-0.2217814817347806,0.3885246809245129
Nov-02,100.0,52.66934422356475,1.7462621080697964,0.3756454824665024,15.242161395929662,0.30173141179250057,20.76344122312599,6.6590165041007126,2.109419825171285,-0.2247797765702521,0.3577576023490499
