date,year,month,decade,gas_ppi,gas_index_2024base,mom_pct,yoy_pct,rolling_vol_12m,shock,direction,event
1967-01-01,1967,1,1960,7.4,10.159892451588915,,,,False,flat,
1967-02-01,1967,2,1960,7.4,10.159892451588915,0.0,,,False,flat,
1967-03-01,1967,3,1960,7.4,10.159892451588915,0.0,,,False,flat,
1967-04-01,1967,4,1960,7.5,10.297188295529306,1.3513513513513375,,,False,up,
1967-05-01,1967,5,1960,7.5,10.297188295529306,0.0,,,False,flat,
1967-06-01,1967,6,1960,7.4,10.159892451588915,-1.3333333333333308,,,False,down,
1967-07-01,1967,7,1960,7.5,10.297188295529306,1.3513513513513375,,,False,up,
1967-08-01,1967,8,1960,7.5,10.297188295529306,0.0,,,False,flat,
1967-09-01,1967,9,1960,7.5,10.297188295529306,0.0,,,False,flat,
1967-10-01,1967,10,1960,7.5,10.297188295529306,0.0,,,False,flat,
1967-11-01,1967,11,1960,7.5,10.297188295529306,0.0,,,False,flat,
1967-12-01,1967,12,1960,7.5,10.297188295529306,0.0,,,False,flat,
1968-01-01,1968,1,1960,7.5,10.297188295529306,0.0,1.3513513513513375,0.6924143763866049,False,flat,
1968-02-01,1968,2,1960,7.6,10.434484139469696,1.3333333333333197,2.7027027027026973,0.7745461826843957,False,up,
1968-03-01,1968,3,1960,7.6,10.434484139469696,0.0,2.7027027027026973,0.7745461826843957,False,flat,
1968-04-01,1968,4,1960,7.6,10.434484139469696,0.0,1.3333333333333197,0.6895009278206786,False,flat,
1968-05-01,1968,5,1960,7.6,10.434484139469696,0.0,1.3333333333333197,0.6895009278206786,False,flat,
1968-06-01,1968,6,1960,7.6,10.434484139469696,0.0,2.7027027027026973,0.5225201690665878,False,flat,
1968-07-01,1968,7,1960,7.6,10.434484139469696,0.0,1.3333333333333197,0.3849001794597466,False,flat,
1968-08-01,1968,8,1960,7.6,10.434484139469696,0.0,1.3333333333333197,0.3849001794597466,False,flat,
1968-09-01,1968,9,1960,7.6,10.434484139469696,0.0,1.3333333333333197,0.3849001794597466,False,flat,
1968-10-01,1968,10,1960,7.6,10.434484139469696,0.0,1.3333333333333197,0.3849001794597466,False,flat,
1968-11-01,1968,11,1960,7.6,10.434484139469696,0.0,1.3333333333333197,0.3849001794597466,False,flat,
1968-12-01,1968,12,1960,7.7,10.571779983410087,1.3157894736842257,2.6666666666666616,0.5155983943025381,False,up,
1969-01-01,1969,1,1960,7.6,10.434484139469696,-1.2987012987013102,1.3333333333333197,0.6771420507549961,False,down,
1969-02-01,1969,2,1960,7.7,10.571779983410087,1.3157894736842257,1.3157894736842257,0.6742795508184918,False,up,
1969-03-01,1969,3,1960,7.7,10.571779983410087,0.0,1.3157894736842257,0.6742795508184918,False,flat,
1969-04-01,1969,4,1960,7.7,10.571779983410087,0.0,1.3157894736842257,0.6742795508184918,False,flat,
1969-05-01,1969,5,1960,7.7,10.571779983410087,0.0,1.3157894736842257,0.6742795508184918,False,flat,
1969-06-01,1969,6,1960,7.7,10.571779983410087,0.0,1.3157894736842257,0.6742795508184918,False,flat,
1969-07-01,1969,7,1960,7.7,10.571779983410087,0.0,1.3157894736842257,0.6742795508184918,False,flat,
1969-08-01,1969,8,1960,7.8,10.709075827350476,1.298701298701288,2.6315789473684292,0.754306024119978,False,up,
1969-09-01,1969,9,1960,7.7,10.571779983410087,-1.2820512820512775,1.3157894736842257,0.8700961676804675,False,down,
1969-10-01,1969,10,1960,7.8,10.709075827350476,1.298701298701288,2.6315789473684292,0.9333082980118494,False,up,
1969-11-01,1969,11,1960,7.8,10.709075827350476,0.0,2.6315789473684292,0.9333082980118494,False,flat,
1969-12-01,1969,12,1960,7.8,10.709075827350476,0.0,1.298701298701288,0.8679591022865418,False,flat,
1970-01-01,1970,1,1970,7.8,10.709075827350476,0.0,2.6315789473684292,0.7490174817549919,False,flat,
1970-02-01,1970,2,1970,7.8,10.709075827350476,0.0,1.298701298701288,0.6655637751064278,False,flat,
1970-03-01,1970,3,1970,7.9,10.846371671290868,1.2820512820512997,2.5974025974025983,0.744577534377679,False,up,
1970-04-01,1970,4,1970,7.9,10.846371671290868,0.0,2.5974025974025983,0.744577534377679,False,flat,
1970-05-01,1970,5,1970,7.9,10.846371671290868,0.0,2.5974025974025983,0.744577534377679,False,flat,
1970-06-01,1970,6,1970,7.9,10.846371671290868,0.0,2.5974025974025983,0.744577534377679,False,flat,
1970-07-01,1970,7,1970,7.9,10.846371671290868,0.0,2.5974025974025983,0.744577534377679,False,flat,
1970-08-01,1970,8,1970,7.9,10.846371671290868,0.0,1.2820512820512997,0.6628714364766697,False,flat,
1970-09-01,1970,9,1970,7.9,10.846371671290868,0.0,2.5974025974025983,0.5022908335485647,False,flat,
1970-10-01,1970,10,1970,7.9,10.846371671290868,0.0,1.2820512820512997,0.37009632640361134,False,flat,
1970-11-01,1970,11,1970,8.0,10.983667515231259,1.2658227848101111,2.564102564102577,0.4958913881546189,False,up,
1970-12-01,1970,12,1970,8.2,11.25825920311204,2.499999999999991,5.128205128205132,0.8186765056227868,False,up,
1971-01-01,1971,1,1970,8.1,11.120963359171649,-1.2195121951219523,3.8461538461538547,0.942038887506656,False,down,
1971-02-01,1971,2,1970,8.2,11.25825920311204,1.2345679012345734,5.128205128205132,0.9709988243286939,False,up,
1971-03-01,1971,3,1970,8.3,11.395555047052431,1.2195121951219745,5.063291139240511,0.9661181132218405,False,up,
1971-04-01,1971,4,1970,8.4,11.532850890992822,1.2048192771084265,6.329113924050622,0.9813606268847691,False,up,
1971-05-01,1971,5,1970,8.4,11.532850890992822,0.0,6.329113924050622,0.9813606268847691,False,flat,
1971-06-01,1971,6,1970,8.4,11.532850890992822,0.0,6.329113924050622,0.9813606268847691,False,flat,
1971-07-01,1971,7,1970,8.4,11.532850890992822,0.0,6.329113924050622,0.9813606268847691,False,flat,
1971-08-01,1971,8,1970,8.5,11.670146734933212,1.1904761904761862,7.594936708860756,0.9845023565420911,False,up,
1971-09-01,1971,9,1970,8.6,11.807442578873603,1.17647058823529,8.860759493670866,0.9760915587509317,False,up,
1971-10-01,1971,10,1970,8.6,11.807442578873603,0.0,8.860759493670866,0.9760915587509317,False,flat,
1971-11-01,1971,11,1970,8.6,11.807442578873603,0.0,7.499999999999996,0.9794683620778394,False,flat,
1971-12-01,1971,12,1970,8.7,11.944738422813993,1.1627906976744207,6.0975609756097615,0.805343636294302,False,up,
1972-01-01,1972,1,1970,8.7,11.944738422813993,0.0,7.407407407407396,0.6259524538329267,False,flat,
1972-02-01,1972,2,1970,8.7,11.944738422813993,0.0,6.0975609756097615,0.6133331841425701,False,flat,
1972-03-01,1972,3,1970,8.8,12.082034266754386,1.1494252873563315,6.024096385542177,0.6061100314116928,False,up,
1972-04-01,1972,4,1970,8.9,12.219330110694775,1.1363636363636243,5.952380952380953,0.5990551151661948,False,up,
1972-05-01,1972,5,1970,9.0,12.356625954635165,1.1235955056179803,7.14285714285714,0.6042086290777523,False,up,
1972-06-01,1972,6,1970,9.0,12.356625954635165,0.0,7.14285714285714,0.6042086290777523,False,flat,
1972-07-01,1972,7,1970,9.0,12.356625954635165,0.0,7.14285714285714,0.6042086290777523,False,flat,
1972-08-01,1972,8,1970,9.1,12.493921798575556,1.1111111111111072,7.058823529411762,0.5972927946990022,False,up,
