Month,lat,lon,ssh
2010-01,24.025,-94.95,-0.09718458722580646
2010-02,24.025,-94.95,-0.11846687396428571
2010-03,24.025,-94.95,-0.09213880054838709
2010-04,24.025,-94.95,-0.08495382596666666
2010-05,24.025,-94.95,-0.10156172661290323
2010-06,24.025,-94.95,-0.154409678
2010-07,24.025,-94.95,-0.14548622967741937
2010-08,24.025,-94.95,0.14667327473548386
2010-09,24.025,-94.95,0.12271126766666667
2010-10,24.025,-94.95,0.009768403187096774
2010-11,24.025,-94.95,-0.15275152066666667
2010-12,24.025,-94.95,-0.23501875451612902
2011-01,24.025,-94.95,-0.24802148161290322
2011-02,24.025,-94.95,-0.28167571357142857
2011-03,24.025,-94.95,-0.19977777870967742
2011-04,24.025,-94.95,-0.03131888547666666
2011-05,24.025,-94.95,-0.004304285306451612
2011-06,24.025,-94.95,-0.21606689533333334
2011-07,24.025,-94.95,-0.24446051516129033
2011-08,24.025,-94.95,-0.2355137612903226
2011-09,24.025,-94.95,-0.2502583096666667
2011-10,24.025,-94.95,-0.17676757632258064
2011-11,24.025,-94.95,-0.03248506462
2011-12,24.025,-94.95,-0.047377996900000004
2012-01,24.025,-94.95,-0.10717858832258065
2012-02,24.025,-94.95,-0.08679645144827587
2012-03,24.025,-94.95,-0.07265425119354837
2012-04,24.025,-94.95,-0.1133067389
2012-05,24.025,-94.95,-0.03328371896451613
2012-06,24.025,-94.95,-0.160963566
2012-07,24.025,-94.95,-0.1564210293548387
2012-08,24.025,-94.95,-0.15307850967741934
2012-09,24.025,-94.95,-0.14905019966666666
2012-10,24.025,-94.95,-0.06326957023548387
2012-11,24.025,-94.95,0.027839442103333334
2012-12,24.025,-94.95,-0.05258574575161291
2013-01,24.025,-94.95,0.0030069055208387097
2013-02,24.025,-94.95,-0.08384350179642856
2013-03,24.025,-94.95,-0.1363136985483871
2013-04,24.025,-94.95,-0.16330118053333334
2013-05,24.025,-94.95,-0.11694707261290323
2013-06,24.025,-94.95,-0.138034131
2013-07,24.025,-94.95,-0.031184726870967742
2013-08,24.025,-94.95,-0.08567575777419355
2013-09,24.025,-94.95,-0.14709985116666668
2013-10,24.025,-94.95,-0.16541512741935482
2013-11,24.025,-94.95,-0.197259378
2013-12,24.025,-94.95,-0.2724455287096774
2014-01,24.025,-94.95,-0.25560619258064515
2014-02,24.025,-94.95,-0.17042268142857142
2014-03,24.025,-94.95,-0.15779517206451615
2014-04,24.025,-94.95,-0.02198067308
2014-05,24.025,-94.95,0.10376119521612903
2014-06,24.025,-94.95,-0.03346483543333333
2014-07,24.025,-94.95,-0.1565485170967742
2014-08,24.025,-94.95,-0.1856815970967742
