date,petroleum_ppi_nominal,year,month,decade,petroleum_index_2024base,mom_pct,yoy_pct,rolling_vol_12m,shock,direction,event
1947-01-01,7.3,1947,1,1940,3.5070792155512542,,,,False,flat,
1947-02-01,7.3,1947,2,1940,3.5070792155512542,0.0,,,False,flat,
1947-03-01,8.0,1947,3,1940,3.843374482795895,9.589041095890405,,,True,up,
1947-04-01,8.4,1947,4,1940,4.03554320693569,5.000000000000004,,,False,up,
1947-05-01,8.4,1947,5,1940,4.03554320693569,0.0,,,False,flat,
1947-06-01,8.4,1947,6,1940,4.03554320693569,0.0,,,False,flat,
1947-07-01,8.5,1947,7,1940,4.083585387970639,1.1904761904761862,,,False,up,
1947-08-01,8.5,1947,8,1940,4.083585387970639,0.0,,,False,flat,
1947-09-01,8.6,1947,9,1940,4.1316275690055875,1.17647058823529,,,False,up,
1947-10-01,9.0,1947,10,1940,4.323796293145382,4.651162790697683,,,False,up,
1947-11-01,9.3,1947,11,1940,4.467922836250229,3.3333333333333437,,,False,up,
1947-12-01,10.9,1947,12,1940,5.2365977328094075,17.204301075268802,,,True,up,
1948-01-01,11.5,1948,1,1940,5.5248508190190995,5.504587155963292,57.53424657534247,5.1308220551832395,False,up,
1948-02-01,11.5,1948,2,1940,5.5248508190190995,0.0,57.53424657534247,5.1308220551832395,False,flat,
1948-03-01,11.5,1948,3,1940,5.5248508190190995,0.0,43.75,4.918596108205497,False,flat,
1948-04-01,11.5,1948,4,1940,5.5248508190190995,0.0,36.904761904761905,4.961232193999143,False,flat,
1948-05-01,11.5,1948,5,1940,5.5248508190190995,0.0,36.904761904761905,4.961232193999143,False,flat,
1948-06-01,11.5,1948,6,1940,5.5248508190190995,0.0,36.904761904761905,4.961232193999143,False,flat,
1948-07-01,11.5,1948,7,1940,5.5248508190190995,0.0,35.29411764705883,5.007052543113139,False,flat,
1948-08-01,11.5,1948,8,1940,5.5248508190190995,0.0,35.29411764705883,5.007052543113139,False,flat,
1948-09-01,11.5,1948,9,1940,5.5248508190190995,0.0,33.72093023255815,5.049985551114468,False,flat,
1948-10-01,11.5,1948,10,1940,5.5248508190190995,0.0,27.777777777777768,5.053199925481148,False,flat,
1948-11-01,11.5,1948,11,1940,5.5248508190190995,0.0,23.655913978494624,5.0750189268601416,False,flat,
1948-12-01,11.5,1948,12,1940,5.5248508190190995,0.0,5.504587155963292,1.589037438136582,False,flat,
1949-01-01,11.4,1949,1,1940,5.476808637984151,-0.8695652173912993,-0.8695652173912993,0.2510218561694051,False,flat,
1949-02-01,11.4,1949,2,1940,5.476808637984151,0.0,-0.8695652173912993,0.2510218561694051,False,flat,
1949-03-01,11.4,1949,3,1940,5.476808637984151,0.0,-0.8695652173912993,0.2510218561694051,False,flat,
1949-04-01,11.4,1949,4,1940,5.476808637984151,0.0,-0.8695652173912993,0.2510218561694051,False,flat,
1949-05-01,11.4,1949,5,1940,5.476808637984151,0.0,-0.8695652173912993,0.2510218561694051,False,flat,
1949-06-01,11.3,1949,6,1940,5.4287664569492025,-0.877192982456132,-1.7391304347825987,0.3399662432047011,False,flat,
1949-07-01,11.3,1949,7,1940,5.4287664569492025,0.0,-1.7391304347825987,0.3399662432047011,False,flat,
1949-08-01,11.3,1949,8,1940,5.4287664569492025,0.0,-1.7391304347825987,0.3399662432047011,False,flat,
1949-09-01,11.3,1949,9,1940,5.4287664569492025,0.0,-1.7391304347825987,0.3399662432047011,False,flat,
1949-10-01,11.3,1949,10,1940,5.4287664569492025,0.0,-1.7391304347825987,0.3399662432047011,False,flat,
1949-11-01,11.3,1949,11,1940,5.4287664569492025,0.0,-1.7391304347825987,0.3399662432047011,False,flat,
1949-12-01,11.3,1949,12,1940,5.4287664569492025,0.0,-1.7391304347825987,0.3399662432047011,False,flat,
1950-01-01,11.3,1950,1,1950,5.4287664569492025,0.0,-0.877192982456132,0.2532238022761532,False,flat,
1950-02-01,11.3,1950,2,1950,5.4287664569492025,0.0,-0.877192982456132,0.2532238022761532,False,flat,
1950-03-01,11.3,1950,3,1950,5.4287664569492025,0.0,-0.877192982456132,0.2532238022761532,False,flat,
1950-04-01,11.3,1950,4,1950,5.4287664569492025,0.0,-0.877192982456132,0.2532238022761532,False,flat,
1950-05-01,11.3,1950,5,1950,5.4287664569492025,0.0,-0.877192982456132,0.2532238022761532,False,flat,
1950-06-01,11.3,1950,6,1950,5.4287664569492025,0.0,0.0,0.0,False,flat,
1950-07-01,11.3,1950,7,1950,5.4287664569492025,0.0,0.0,0.0,False,flat,
1950-08-01,11.3,1950,8,1950,5.4287664569492025,0.0,0.0,0.0,False,flat,
